690.0	   -0.932689800   -1.932689800    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
680.0	   -0.932690269   -1.932690269    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
670.0	   -0.932690252   -1.932690252    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
660.0	   -0.932690416   -1.932690416    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
650.0	   -0.932690308   -1.932690308    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
640.0	   -0.932690549   -1.932690549    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
630.0	   -0.932690273   -1.932690273    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
620.0	   -0.932690407   -1.932690407    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
610.0	   -0.932690402   -1.932690402    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
600.0	   -0.932690603   -1.932690603    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
590.0	   -0.932690455   -1.932690455    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
580.0	   -0.932690587   -1.932690587    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
570.0	   -0.932690667   -1.932690667    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
560.0	   -0.932690496   -1.932690496    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
550.0	   -0.932690094   -1.932690094    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
540.0	   -0.932691189   -1.932691189    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
530.0	   -0.932691246   -1.932691246    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
520.0	   -0.932691739   -1.932691739    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
510.0	   -0.932691591   -1.932691591    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
500.0	   -0.932691450   -1.932691450    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
490.0	   -0.932691452   -1.932691452    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
480.0	   -0.932691472   -1.932691472    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
470.0	   -0.932691577   -1.932691577    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
460.0	   -0.932691391   -1.932691391    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
450.0	   -0.932691487   -1.932691487    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
440.0	   -0.932691479   -1.932691479    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
430.0	   -0.932691574   -1.932691574    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
420.0	   -0.932690999   -1.932690999    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
410.0	   -0.932690972   -1.932690972    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
400.0	   -0.932691553   -1.932691553    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
390.0	   -0.932691791   -1.932691791    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
380.0	   -0.932691600   -1.932691600    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
370.0	   -0.932692143   -1.932692143    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
360.0	   -0.932692223   -1.932692223    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
350.0	   -0.932692195   -1.932692195    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
340.0	   -0.932692204   -1.932692204    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
330.0	   -0.932692204   -1.932692204    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
320.0	   -0.932692206   -1.932692206    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
310.0	   -0.932692230   -1.932692230    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
