  -4.8839767953590716       -4.9796028489396734E-004 -0.21666785776705905     
  -4.8819763952790556       -4.9844562743679959E-004 -0.21676751703211583     
  -4.8799759951990396       -4.9893171841648590E-004 -0.21686727345724835     
  -4.8779755951190236       -4.9941855944539047E-004 -0.21696712719232694     
  -4.8759751950390076       -4.9990615214039202E-004 -0.21706707838754569     
  -4.8739747949589916       -5.0039449812290797E-004 -0.21716712719342210     
  -4.8719743948789755       -5.0088359901889041E-004 -0.21726727376079946     
  -4.8699739947989595       -5.0137345645887303E-004 -0.21736751824084438     
  -4.8679735947189435       -5.0186407207796467E-004 -0.21746786078505237     
  -4.8659731946389275       -5.0235544751586617E-004 -0.21756830154524717     
  -4.8639727945589115       -5.0284758441689406E-004 -0.21766884067357894     
  -4.8619723944788955       -5.0334048442999223E-004 -0.21776947832252710     
  -4.8599719943988795       -5.0383414920875038E-004 -0.21787021464490264     
  -4.8579715943188635       -5.0432858041142353E-004 -0.21797104979384893     
  -4.8559711942388475       -5.0482377970093668E-004 -0.21807198392283619     
  -4.8539707941588315       -5.0531974874491010E-004 -0.21817301718567481     
  -4.8519703940788155       -5.0581648921567543E-004 -0.21827414973650339     
  -4.8499699939987995       -5.0631400279029274E-004 -0.21837538172980020     
  -4.8479695939187835       -5.0681229115056474E-004 -0.21847671332037555     
  -4.8459691938387675       -5.0731135598304825E-004 -0.21857814466337952     
  -4.8439687937587514       -5.0781119897908857E-004 -0.21867967591429585     
  -4.8419683936787354       -5.0831182183481115E-004 -0.21878130722895417     
